t0=0.000000, tk=2.000000, h=0.010000, H=1.000000, 	v0=0.500000,    z0=2.000000,

0.000000	2.000000	0.500000
0.010000	1.991278	-2.238553	
0.020000	1.955521	-4.889823	
0.030000	1.894098	-7.357142	
0.040000	1.809249	-9.564619	
0.050000	1.703839	-11.463576	
0.060000	1.581077	-13.034204	
0.070000	1.444232	-14.282942	
0.080000	1.296403	-15.236927	
0.090000	1.140341	-15.937136	
0.100000	0.978347	-16.431588	
0.110000	0.812231	-16.769545	
0.120000	0.643323	-16.997087	
0.130000	0.472523	-17.154073	
0.140000	0.300370	-17.272243	
0.150000	0.127131	-17.374112	
0.160000	-0.047102	-17.472334	
0.170000	-0.222313	-17.569283	
0.180000	-0.398457	-17.656693	
0.190000	-0.575352	-17.715326	
0.200000	-0.752568	-17.714791	
0.210000	-0.929314	-17.613764	
0.220000	-1.104338	-17.360993	
0.230000	-1.275832	-16.897607	
0.240000	-1.441379	-16.161237	
0.250000	-1.597946	-15.092286	
0.260000	-1.741951	-13.642307	
0.270000	-1.869424	-11.783720	
0.280000	-1.976265	-9.519260	
0.290000	-2.058581	-6.888852	
0.300000	-2.113078	-3.971391	
0.310000	-2.137423	-0.879689	
0.320000	-2.130538	2.251488	
0.330000	-2.092730	5.282264	
0.340000	-2.025655	8.085665	
0.350000	-1.932111	10.562696	
0.360000	-1.815703	12.651396	
0.370000	-1.680460	14.328756	
0.380000	-1.530465	15.606424	
0.390000	-1.369541	16.522377	
0.400000	-1.201043	17.131105	
0.410000	-1.027737	17.494340	
0.420000	-0.851769	17.673553	
0.430000	-0.674692	17.724657	
0.440000	-0.497545	17.694734	
0.450000	-0.320944	17.620373	
0.460000	-0.145199	17.527057	
0.470000	0.029583	17.429166	
0.480000	0.203383	17.330251	
0.490000	0.376163	17.223372	
0.500000	0.547768	17.091481	
0.510000	0.717822	16.907913	
0.520000	0.885637	16.637184	
0.530000	1.050132	16.236409	
0.540000	1.209772	15.657657	
0.550000	1.362527	14.851583	
0.560000	1.505891	13.772475	
0.570000	1.636944	12.384571	
0.580000	1.752486	10.669025	
0.590000	1.849242	8.630385	
0.600000	1.924118	6.301051	
0.610000	1.974492	3.742146	
0.620000	1.998479	1.039755	
0.630000	1.995150	-1.703466	
0.640000	1.964633	-4.380012	
0.650000	1.908107	-6.890264	
0.660000	1.827656	-9.153591	
0.670000	1.726044	-11.115681	
0.680000	1.606436	-12.751135	
0.690000	1.472109	-14.061596	
0.700000	1.326211	-15.070654	
0.710000	1.171573	-15.817118	
0.720000	1.010588	-16.348118	
0.730000	0.845164	-16.713067	
0.740000	0.676723	-16.958951	
0.750000	0.506243	-17.127034	
0.760000	0.334329	-17.250759	
0.770000	0.161293	-17.354517	
0.780000	-0.012745	-17.452939	
0.790000	-0.187764	-17.550452	
0.800000	-0.363732	-17.640909	
0.810000	-0.540504	-17.707253	
0.820000	-0.717705	-17.721290	
0.830000	-0.894626	-17.643796	
0.840000	-1.070112	-17.425342	
0.850000	-1.242471	-17.008294	
0.860000	-1.409408	-16.330546	
0.870000	-1.568008	-15.331357	
0.880000	-1.714788	-13.959343	
0.890000	-1.845838	-12.182032	
0.900000	-1.957058	-9.995535	
0.910000	-2.044484	-7.432125	
0.920000	-2.104674	-4.563196	
0.930000	-2.135081	-1.495629	
0.940000	-2.134361	1.638911	
0.950000	-2.102548	4.700106	
0.960000	-2.041044	7.557108	
0.970000	-1.952444	10.104482	
0.980000	-1.840225	12.272605	
0.990000	-1.708364	14.030973	
1.000000	-1.560959	15.384981	
1.010000	-1.401904	16.368186	
1.020000	-1.234660	17.032601	
1.030000	-1.062112	17.439191	
1.040000	-0.886528	17.649967	
1.050000	-0.709573	17.722250	
1.060000	-0.532380	17.705038	
1.070000	-0.355640	17.637056	
1.080000	-0.179714	17.545986	
1.090000	-0.004741	17.448379	
1.100000	0.169252	17.349888	
1.110000	0.342239	17.245611	
1.120000	0.514096	17.120457	
1.130000	0.684497	16.949603	
1.140000	0.852824	16.699216	
1.150000	1.018078	16.327714	
1.160000	1.178817	15.787918	
1.170000	1.333110	15.030409	
1.180000	1.478541	14.008294	
1.190000	1.612263	12.683311	
1.200000	1.731118	11.032736	
1.210000	1.831826	9.056072	
1.220000	1.911236	6.780035	
1.230000	1.966608	4.260236	
1.240000	1.995896	1.578372	
1.250000	1.997968	-1.165316	
1.260000	1.972743	-3.863263	
1.270000	1.921198	-6.413338	
1.280000	1.845257	-8.730449	
1.290000	1.747570	-10.754748	
1.300000	1.631246	-12.455162	
1.310000	1.499562	-13.828335	
1.320000	1.355708	-14.894039	
1.330000	1.202587	-15.688641	
1.340000	1.042686	-16.258150	
1.350000	0.878009	-16.651945	
1.360000	0.710073	-16.917791	
1.370000	0.539937	-17.098280	
1.380000	0.368274	-17.228513	
1.390000	0.195446	-17.334730	
1.400000	0.021602	-17.433526	
1.410000	-0.153223	-17.531365	
1.420000	-0.329010	-17.624212	
1.430000	-0.505643	-17.697181	
1.440000	-0.682802	-17.724278	
1.450000	-0.859853	-17.668416	
1.460000	-1.035737	-17.482062	
1.470000	-1.208872	-17.108966	
1.480000	-1.377087	-16.487511	
1.490000	-1.537587	-15.556120	
1.500000	-1.686993	-14.260847	
1.510000	-1.821463	-12.564707	
1.520000	-1.936910	-10.457480	
1.530000	-2.029316	-7.963902	
1.540000	-2.095105	-5.147724	
1.550000	-2.131525	-2.109469	
1.560000	-2.136977	1.022937	
1.570000	-2.111219	4.109453	
1.580000	-2.055392	7.015980	
1.590000	-1.971877	9.631047	
1.600000	-1.864007	11.877488	
1.610000	-1.735690	13.717167	
1.620000	-1.591029	15.148912	
1.630000	-1.433979	16.201473	
1.640000	-1.268101	16.924011	
1.650000	-1.096401	17.376416	
1.660000	-0.921266	17.621015	
1.670000	-0.744477	17.716404	
1.680000	-0.567264	17.713416	
1.690000	-0.390399	17.652893	
1.700000	-0.214297	17.564713	
1.710000	-0.039133	17.467607	
1.720000	0.135053	17.369350	
1.730000	0.308242	17.267090	
1.740000	0.480339	17.147713	
1.750000	0.651064	16.988269	
1.760000	0.819865	16.756620	
1.770000	0.985823	16.412576	
1.780000	1.147587	15.909837	
1.790000	1.303326	15.199094	
1.800000	1.450715	14.232515	
1.810000	1.586985	12.969602	
1.820000	1.709027	11.384018	
1.830000	1.813567	9.470414	
1.840000	1.897407	7.249885	
1.850000	1.957703	4.772419	
1.860000	1.992251	2.115024	
1.870000	1.999726	-0.624915	
1.880000	1.979834	-3.340282	
1.890000	1.933351	-5.926884	
1.900000	1.862027	-8.295492	
1.910000	1.768391	-10.380849	
1.920000	1.655482	-12.146164	
1.930000	1.526567	-13.582890	
1.940000	1.384871	-14.706720	
1.950000	1.233366	-15.551308	
1.960000	1.074628	-16.161290	
1.970000	0.910758	-16.585820	
1.980000	0.743368	-16.873307	
1.990000	0.573602	-17.067578	
2.000000	0.402203	-17.205345	
